intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2067000,0.003557408169130922,0.9985507246376811,0.003557408169130922,0.003557408169130922,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_003510135.1 Pseudothermotoga sp., ASM351013v1",6681d4f6cafc9a18e3bd23d303532776,0.9985507246376811,2067000,0,41413000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8336894636821778,0.9999532163660771,0.9168213400241274,0.9999532163660771,False,,2067,581041
2024000,0.0034834030644997514,0.9921026653504442,0.003459308379270998,0.003459308379270998,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_001507915.1 Desulfonauticus sp. 38_4375, ASM150791v1",8212f52a85d740750046ba02dea0a320,0.9990128331688055,2010000,1,39403000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8331242920752017,0.9999681406881228,0.9165462163816622,0.9999681406881228,False,,4077,581041
1899000,0.0032682719463858834,0.5089788260519967,0.0032682719463858834,0.0032682719463858834,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_001592045.1 Thermobifida fusca NBRC 14071 = JCM 3263 strain=NBRC 14071, ASM159204v1",922ba40c16c9026cff32f00c79f30fd2,0.5089788260519967,1899000,2,37504000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8314128177806283,0.978450141774913,0.9049314797777706,0.978450141774913,False,,5976,581041
1881000,0.0032372930653774864,0.8777414839010733,0.0032372930653774864,0.0032372930653774864,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000008665.1 Archaeoglobus fulgidus DSM 4304 strain=DSM 4304, ASM866v1",cee0a3fb7b00990a22be02b2b0a78418,0.8777414839010733,1881000,3,35623000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8311574287176081,0.995802281406855,0.9134798550622316,0.995802281406855,False,,7857,581041
1699000,0.0029240621574036945,0.974197247706422,0.0029240621574036945,0.0029240621574036945,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_001508005.1 Clostridia bacterium 41_269, ASM150800v1",3c08326f023a168236dc553ce5a99612,0.974197247706422,1699000,4,33924000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8284334614519653,0.9991570818166797,0.9137952716343225,0.9991570818166797,False,,9556,581041
1589000,0.0027347467734634904,0.8826473859844272,0.0027313046755736686,0.0027313046755736686,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_001508855.1 Thermoanaerobacterales bacterium 50_218, ASM150885v1",b9f47dc6c1e00d1254d5ca9f756f5115,0.8837597330367074,1587000,5,32337000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.826646644200724,0.9960218034763739,0.9113342238385489,0.9960218034763739,False,,11143,581041
1581000,0.002720978381904203,0.7830609212481426,0.002720978381904203,0.002720978381904203,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000430485.1 Thermococcus sp. PK strain=PK, ASM43048v1",3a166fba0d7d8588895c4818540a6dca,0.7830609212481426,1581000,6,30756000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8265120629683553,0.9921424915611914,0.9093272772647734,0.9921424915611914,False,,12724,581041
1487000,0.0025591997810825743,0.8458475540386803,0.0025591997810825743,0.0025591997810825743,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000734015.1 Thermodesulfobacterium commune DSM 2178 strain=DSM 2178, ASM73401v1",9455dfedc0c3be4c58ba4a958d514a7a,0.8458475540386803,1487000,7,29269000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8248793995960262,0.9946140362138449,0.9097467179049356,0.9946140362138449,False,,14211,581041
1418000,0.002440447403883719,0.985406532314107,0.002440447403883719,0.002440447403883719,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000711905.1 Methermicoccus shengliensis DSM 18856 strain=DSM 18856, ASM71190v1",9ecffe39761c99cf1b8acd33544b7ec1,0.985406532314107,1418000,8,27851000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8236160875743144,0.9995258866274337,0.911570987100874,0.9995258866274337,False,,15629,581041
1376000,0.0023681633481974595,1.0,0.0023681633481974595,0.0023681633481974595,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_001507955.1 Methanobacteriaceae archaeon 41_258, ASM150795v1",120256cdf2fefe58777f9a52cdb4868f,1.0,1376000,9,26475000,hu/SRR1977304.abundtrim.fq.gz,SRR1977304.15867 HWI-ST1144:352:H78FVADXX:1:1101:18722:4074/1,87f4e6ce,581041000,31,DNA,1000,581041,False,0.8228176552071826,1.0,0.9114088276035913,1.0,False,,17005,581041
